timestamp,x,y
1779961561.526166,700,537
1779961561.541119,707,545
1779961561.556737,680,543
1779961561.573323,700,557
1779961561.590161,699,564
1779961561.608666,711,573
1779961561.621778,741,580
1779961561.640704,734,586
1779961561.656971,745,572
1779961561.671742,755,586
1779961561.68908,735,598
1779961561.707826,732,593
1779961561.723615,712,592
1779961561.740326,710,589
1779961561.757737,669,578
1779961561.776577,702,568
1779961561.792676,718,549
1779961561.80732,711,551
1779961561.824057,689,547
1779961561.845222,723,550
1779961561.859299,708,542
1779961561.876387,731,548
1779961561.892692,713,542
1779961561.911183,699,545
1779961561.926546,698,552
1779961561.943287,685,547
1779961561.958176,694,557
1779961561.975577,668,545
1779961561.992235,658,542
1779961562.00958,624,537
1779961562.026791,633,542
1779961562.044304,633,547
1779961562.059105,630,564
1779961562.075906,639,563
1779961562.091661,636,563
1779961562.108384,630,583
1779961562.125248,622,588
1779961562.141896,613,601
1779961562.157636,624,610
1779961562.174182,606,615
1779961562.188253,615,617
1779961562.205611,610,625
1779961562.222264,592,632
1779961562.237053,559,630
1779961562.253919,584,633
1779961562.269693,572,615
1779961562.285787,577,626
1779961562.300807,552,615
1779961562.317302,533,614
1779961562.336927,554,617
1779961562.350616,537,627
1779961562.366625,530,628
1779961562.383258,529,635
1779961562.398617,524,632
1779961562.415366,512,629
1779961562.431975,526,634
1779961562.447686,527,636
1779961562.465243,499,655
1779961562.480582,502,664
1779961562.499647,523,651
1779961562.513834,525,641
1779961562.531787,549,637
1779961562.546223,503,629
1779961562.567461,527,629
1779961562.581066,529,630
1779961562.598582,493,600
1779961562.613553,481,603
1779961562.633008,489,631
1779961562.648441,461,635
1779961562.663405,450,637
1779961562.680364,458,641
1779961562.697706,459,648
1779961562.715897,457,645
1779961562.729903,467,640
1779961562.747785,462,642
1779961562.762496,445,638
1779961562.780644,449,633
1779961562.796411,450,634
1779961562.813203,461,640
1779961562.829503,457,647
1779961562.845122,475,626
1779961562.863657,467,608
1779961562.879186,490,613
1779961562.89633,491,598
1779961562.912639,501,598
1779961562.931072,471,608
1779961562.946518,462,601
1779961562.964281,465,609
1779961562.979008,501,616
1779961562.99734,486,624
1779961563.012716,466,609
1779961563.030701,449,599
1779961563.045749,428,588
1779961563.062427,422,585
1779961563.078497,397,582
1779961563.092748,420,590
1779961563.112209,415,599
1779961563.126918,400,603
1779961563.145317,419,620
1779961563.160757,403,623
1779961563.180534,427,622
1779961563.195577,399,626
1779961563.21254,409,608
1779961563.229537,414,604
1779961563.245228,405,586
1779961563.262446,429,585
1779961563.277563,399,588
1779961563.29396,432,586
1779961563.311589,422,575
1779961563.328649,431,590
1779961563.343905,399,566
1779961563.363076,373,516
1779961563.378433,366,495
1779961563.396131,374,517
1779961563.410402,331,533
1779961563.428662,288,532
1779961563.444015,319,531
1779961563.461637,313,516
1779961563.477468,329,511
1779961563.492945,339,510
1779961563.508852,332,504
1779961563.524077,377,521
1779961563.540847,392,530
1779961563.557715,393,527
1779961563.573697,430,521
1779961563.587949,426,515
1779961563.605439,424,502
1779961563.621198,409,495
1779961563.639297,426,496
1779961563.656528,431,498
1779961563.674714,442,496
1779961563.689942,426,486
1779961563.708093,437,485
1779961563.721459,459,476
1779961563.740066,451,458
1779961563.755515,467,452
1779961563.772053,452,436
1779961563.787905,446,433
1779961563.806581,443,435
1779961563.820726,448,431
1779961563.837465,462,427
1779961563.853442,438,411
1779961563.871086,456,418
1779961563.888416,452,421
1779961563.903247,437,416
1779961563.918733,440,405
1779961563.935579,438,416
1779961563.95148,446,419
1779961563.970896,426,413
1779961563.984206,414,417
1779961564.004414,451,422
1779961564.017992,470,419
1779961564.035293,491,423
1779961564.050129,507,427
1779961564.070025,499,438
1779961564.08291,518,446
1779961564.102789,490,429
1779961564.117894,520,431
1779961564.133529,478,438
1779961564.150263,483,461
1779961564.167754,474,453
1779961564.18252,504,438
1779961564.199381,493,448
1779961564.217545,517,458
1779961564.236674,514,463
1779961564.252183,515,454
1779961564.268866,516,479
1779961564.285773,534,491
1779961564.303466,511,480
1779961564.317539,507,477
1779961564.334277,535,472
1779961564.350211,531,463
1779961564.365758,537,450
1779961564.38264,533,458
1779961564.398616,522,465
