timestamp,x,y
1778752214.701671,2256,434
1778752214.717285,2291,377
1778752214.734612,2196,497
1778752214.750804,2210,466
1778752214.767267,2069,399
1778752214.783009,2145,367
1778752214.802164,2081,354
1778752214.817732,1962,413
1778752214.831868,2111,344
1778752214.851777,1916,366
1778752214.873234,1930,521
1778752214.894471,1769,454
1778752214.911433,1895,377
1778752214.924707,1854,391
1778752214.942698,1868,357
1778752214.956907,1952,355
1778752214.97382,1788,377
1778752214.989636,1729,425
1778752215.006818,1780,393
1778752215.022625,1803,390
1778752215.039483,1725,375
1778752215.055611,1784,371
1778752215.07176,1744,390
1778752215.087207,1734,456
1778752215.10465,1835,413
1778752215.121136,1971,405
1778752215.139175,1933,385
1778752215.155225,1904,388
1778752215.171316,1848,379
1778752215.186642,1837,386
1778752215.208176,1856,371
1778752215.222908,1855,359
1778752215.241739,1921,316
1778752215.257581,1919,289
1778752215.273065,2099,101
1778752215.288673,2140,143
1778752215.3058,2164,210
1778752215.32163,2220,212
1778752215.340759,2109,278
1778752215.355456,2057,273
1778752215.373034,2038,330
1778752215.38825,2065,476
1778752215.404692,2037,526
1778752215.420664,2057,505
1778752215.437149,2156,383
1778752215.454912,2204,349
1778752215.471128,2061,399
1778752215.486005,2012,413
1778752215.503072,1976,390
1778752215.518475,1939,340
1778752215.536098,1903,383
1778752215.551428,1872,369
1778752215.569129,1858,365
1778752215.585206,1866,362
1778752215.602626,1829,329
1778752215.619492,1846,323
1778752215.634133,1849,304
1778752215.6519,1871,307
1778752215.669332,1836,294
1778752215.683239,1848,311
1778752215.701064,1906,346
1778752215.716272,1797,325
1778752215.733469,1836,384
1778752215.748683,1805,374
1778752215.767198,1791,351
1778752215.783187,1775,353
1778752215.799515,1821,377
1778752215.815822,1826,361
1778752215.832724,1828,384
1778752215.848157,1810,384
1778752215.86357,1785,385
1778752215.879306,1790,397
1778752215.896457,1790,390
1778752215.912552,1818,402
1778752215.931269,1816,405
1778752215.947588,1812,402
1778752215.963139,1788,419
1778752215.977436,1788,401
1778752215.996825,1798,438
1778752216.010652,1804,464
1778752216.027313,1804,453
1778752216.0448,1768,460
1778752216.061456,1785,459
1778752216.08064,1789,489
1778752216.094881,1776,492
1778752216.11291,1766,499
1778752216.127336,1801,523
1778752216.143932,1763,504
1778752216.159469,1771,506
1778752216.177416,1774,512
1778752216.192622,1779,531
1778752216.210755,1757,533
1778752216.22751,1760,534
1778752216.244117,1533,483
1778752216.261413,1539,451
1778752216.276399,1589,481
1778752216.295458,1576,487
1778752216.310813,1533,508
1778752216.328495,1579,512
1778752216.344031,1626,540
1778752216.359557,1646,554
1778752216.373646,1700,616
1778752216.393408,1724,648
1778752216.407184,1724,672
1778752216.425836,1725,633
1778752216.439822,1762,658
1778752216.455736,1812,651
1778752216.474078,1845,656
1778752216.488374,1927,645
1778752216.505618,1895,614
1778752216.521524,1914,618
1778752216.53893,1939,637
1778752216.5539,1874,593
1778752216.570709,1894,603
1778752216.590653,1994,684
1778752216.607245,1961,646
1778752216.621722,1920,614
1778752216.640595,1969,646
1778752216.655506,2024,677
1778752216.672026,1980,635
1778752216.689425,1973,616
1778752216.704765,1935,667
1778752216.720694,1898,714
1778752216.73843,1912,677
1778752216.753993,1882,712
1778752216.770856,1851,685
1778752216.787553,1845,662
1778752216.804697,1750,703
1778752216.819982,1788,665
1778752216.835817,1804,625
1778752216.854692,1830,646
1778752216.869353,1839,649
1778752216.88571,1816,643
1778752216.904984,1826,624
1778752216.920326,1862,620
1778752216.936957,1808,594
1778752216.952539,1821,580
1778752216.971083,1844,574
1778752216.986104,1804,530
1778752217.002731,1930,499
1778752217.018367,1895,420
1778752217.035962,1944,442
1778752217.050978,1902,421
1778752217.070967,1826,361
1778752217.085571,1837,341
1778752217.104637,1860,333
1778752217.121474,1892,337
1778752217.137196,1807,336
1778752217.151659,1804,350
1778752217.171543,1821,334
1778752217.185211,1813,298
1778752217.202778,1775,301
1778752217.218367,1784,318
1778752217.234287,1787,297
1778752217.251475,1784,318
1778752217.266018,1744,269
1778752217.284284,1797,307
1778752217.30417,1773,296
1778752217.319333,1740,311
1778752217.336635,1750,313
1778752217.353006,1747,317
1778752217.371374,1697,294
1778752217.389471,1702,308
1778752217.406997,1706,317
1778752217.422861,1700,312
1778752217.441488,1700,315
1778752217.458362,1741,316
1778752217.474986,1781,292
1778752217.489174,1789,268
1778752217.509207,1794,261
1778752217.523334,1801,278
1778752217.541918,1762,269
1778752217.557126,1761,274
1778752217.572541,1759,260
1778752217.590584,1767,275
1778752217.605784,1736,230
1778752217.622314,1696,205
1778752217.642174,1728,219
1778752217.660712,1711,221
1778752217.673674,1672,197
1778752217.693197,1708,199
1778752217.708757,1698,192
1778752217.723118,1719,207
1778752217.744216,1696,182
1778752217.759201,1724,202
1778752217.776057,1687,184
1778752217.789379,1674,170
1778752217.806731,1667,178
1778752217.821648,1634,176
1778752217.838082,1665,184
1778752217.853655,1671,182
1778752217.870521,1676,169
1778752217.887167,1658,151
1778752217.904888,1646,141
1778752217.921355,1625,121
1778752217.938548,1646,136
1778752217.95578,1637,154
1778752217.973042,1644,117
1778752217.989444,1662,115
1778752218.005506,1652,115
1778752218.022294,1631,103
1778752218.036488,1642,101
1778752218.054697,1636,79
1778752218.069488,1654,83
1778752218.088186,1689,102
1778752218.102514,1685,100
1778752218.120487,1670,114
1778752218.135431,1674,105
1778752218.153205,1687,147
1778752218.170751,1737,167
1778752218.186384,1710,153
1778752218.203978,1713,148
1778752218.218643,1706,165
1778752218.235503,1714,162
1778752218.251194,1730,161
1778752218.26861,1768,142
1778752218.2839,1766,135
1778752218.301448,1775,149
1778752218.316896,1751,125
1778752218.333693,1752,151
1778752218.350622,1748,173
1778752218.370749,1727,159
1778752218.384779,1722,153
1778752218.402391,1726,167
1778752218.420337,1736,177
1778752218.438591,1732,183
1778752218.454481,1740,174
1778752218.470255,1777,204
1778752218.487985,1739,192
1778752218.5038,1727,176
1778752218.521447,1756,169
1778752218.536269,1792,189
1778752218.555205,1783,186
1778752218.572359,1770,180
1778752218.587373,1754,157
1778752218.6074,1761,176
1778752218.623837,1767,173
1778752218.640355,1756,177
1778752218.654682,1718,149
1778752218.67331,1723,161
1778752218.689,1764,194
1778752218.711518,1730,166
1778752218.728216,1700,160
1778752218.743513,1690,145
1778752218.761662,1682,155
1778752218.775414,1730,172
1778752218.793959,1741,156
1778752218.81121,1743,140
1778752218.829714,1732,159
1778752218.843998,1706,161
1778752218.861648,1755,167
1778752218.876198,1775,173
1778752218.89401,1754,175
1778752218.910171,1761,178
1778752218.926985,1709,155
1778752218.943735,1710,162
1778752218.961264,1775,174
1778752218.976887,1754,157
1778752218.992074,1799,166
1778752219.008345,1766,163
1778752219.022373,1782,176
1778752219.043755,1772,180
1778752219.058083,1772,167
1778752219.073778,1782,212
1778752219.090147,1773,220
1778752219.108289,1764,193
1778752219.126301,1743,186
1778752219.141487,1717,199
1778752219.156104,1735,207
1778752219.173332,1758,219
1778752219.190289,1762,218
1778752219.205514,1785,220
1778752219.223527,1767,218
1778752219.239468,1793,235
1778752219.259085,1801,251
1778752219.274224,1792,233
1778752219.292789,1803,240
1778752219.306532,1821,250
1778752219.32493,1818,234
1778752219.339513,1806,213
1778752219.357304,1794,220
1778752219.371046,1799,213
1778752219.38842,1772,206
1778752219.404535,1794,222
1778752219.420455,1746,206
1778752219.437089,1754,223
1778752219.451855,1747,226
1778752219.472679,1724,230
1778752219.488379,1721,213
1778752219.505823,1651,209
1778752219.521024,1643,222
1778752219.536862,1630,227
1778752219.554249,1618,228
1778752219.57154,1601,212
1778752219.588994,1605,189
1778752219.603952,1610,173
1778752219.621116,1619,190
1778752219.641801,1597,189
1778752219.658422,1619,232
1778752219.673709,1635,250
1778752219.695475,1576,243
1778752219.709305,1561,245
1778752219.728063,1544,233
1778752219.741507,1585,262
1778752219.761246,1530,267
1778752219.775802,1552,283
1778752219.791108,1544,284
1778752219.81063,1529,291
1778752219.826132,1571,340
1778752219.840575,1558,359
1778752219.860338,1623,369
1778752219.873883,1601,326
1778752219.888352,1629,329
1778752219.908367,1652,353
1778752219.922282,1615,329
1778752219.939053,1645,346
1778752219.956355,1665,362
1778752219.971938,1678,352
1778752219.993101,1673,359
1778752220.006958,1701,362
1778752220.025331,1697,357
1778752220.039274,1715,365
1778752220.05797,1713,340
1778752220.072864,1720,345
1778752220.091628,1737,387
1778752220.10578,1711,380
1778752220.126896,1713,379
1778752220.141658,1745,395
1778752220.159347,1767,377
1778752220.175114,1774,402
1778752220.192197,1786,405
1778752220.209677,1762,399
1778752220.226735,1842,432
1778752220.241321,1811,424
1778752220.257944,1797,422
1778752220.27436,1806,425
1778752220.288601,1809,427
1778752220.307132,1801,429
1778752220.321355,1784,419
1778752220.34082,1831,421
1778752220.355576,1823,418
1778752220.37169,1818,427
1778752220.388147,1796,429
1778752220.403938,1801,437
1778752220.422166,1798,439
1778752220.43678,1790,426
1778752220.453837,1827,464
1778752220.469226,1833,444
1778752220.485986,1850,505
1778752220.501341,1839,515
1778752220.519488,1872,520
1778752220.534226,1857,508
1778752220.554065,1872,533
1778752220.568273,1881,523
1778752220.58577,1905,553
1778752220.601797,1906,563
1778752220.619812,1939,575
1778752220.635048,1960,574
1778752220.656634,1966,603
1778752220.671051,1931,603
1778752220.688737,1961,631
1778752220.705259,1951,635
1778752220.720427,1945,630
1778752220.738076,1969,617
1778752220.75433,1952,608
1778752220.7721,1938,587
1778752220.788079,1953,592
1778752220.804512,1994,611
1778752220.821777,2003,590
1778752220.838336,1993,592
1778752220.85497,1997,605
1778752220.86897,2014,612
1778752220.88713,2023,650
1778752220.902996,2085,659
1778752220.920553,2022,639
1778752220.937969,2067,661
1778752220.954854,2052,670
1778752220.970562,2017,670
1778752220.989337,2027,680
1778752221.003831,2008,672
1778752221.021559,2017,613
1778752221.037054,1970,594
1778752221.0537,1942,561
1778752221.069467,1902,524
1778752221.087971,1878,505
1778752221.101898,1830,485
1778752221.119495,1770,488
1778752221.137111,1787,509
